Category,Condition,UserQuery,BotResponse
Greeting,General,Hi,Welcome to DocNearYou chatbot! How can I assist you with your health queries today?
Greeting,General,Hello,Welcome to DocNearYou chatbot! I'm here to help you with health-related information.
Greeting,General,Hey,Welcome to DocNearYou chatbot! What health topic can I help you with?
Greeting,General,Good morning,Welcome to DocNearYou chatbot! Good morning! How may I assist you today?
Greeting,General,Good evening,Welcome to DocNearYou chatbot! Good evening! What can I help you with?
Greeting,General,Good afternoon,Welcome to DocNearYou chatbot! Good afternoon! How can I help you?
Greeting,General,Howdy,Welcome to DocNearYou chatbot! What can I do for you today?
Greeting,General,Greetings,Welcome to DocNearYou chatbot! I'm your health information assistant.
Skin Conditions,Dandruff,Can you tell me about dandruff?,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,What is dandruff?,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,Tell me about dandruff,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,I want to know about dandruff,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,What are symptoms of dandruff?,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,How do I treat dandruff?,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,What causes dandruff?,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,Is dandruff serious?,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,Do I need a doctor for dandruff?,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,What should I do about dandruff?,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,Help me with dandruff,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,Information about dandruff,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,Explain dandruff,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,I have dandruff,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,I think I have dandruff,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,Symptoms of dandruff,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,Treatment for dandruff,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,Cure for dandruff,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,Home remedies for dandruff,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Dandruff,Prevention of dandruff,Dandruff is a common scalp condition with flaky skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Skin Conditions,Eczema,Can you tell me about eczema?,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,What is eczema?,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,Tell me about eczema,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,I want to know about eczema,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,What are symptoms of eczema?,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,How do I treat eczema?,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,What causes eczema?,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,Is eczema serious?,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,Do I need a doctor for eczema?,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,What should I do about eczema?,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,Help me with eczema,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,Information about eczema,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,Explain eczema,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Skin Conditions,Eczema,I have eczema,"Eczema is a condition causing itchy, inflamed skin. It's a condition under the 'Skin Conditions' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
